Exec_us,E2E_us,Jitter_us
1125.0,1125.0,1207.0
1125.0,1125.0,3092.0
1126.0,1126.0,1216.0
1130.0,1130.0,1206.0
1125.0,1125.0,2309.0
1135.0,1135.0,1209.0
1134.0,1134.0,1217.0
1154.0,1154.0,1233.0
1147.0,1147.0,1247.0
1155.0,1155.0,4122.0
1142.0,1142.0,1239.0
1129.0,1129.0,1226.0
1141.0,1141.0,1213.0
1145.0,1145.0,1222.0
1153.0,1153.0,1230.0
1143.0,1143.0,1241.0
1143.0,1143.0,1227.0
1142.0,1142.0,1230.0
1140.0,1140.0,1226.0
1136.0,1136.0,1225.0
1141.0,1141.0,1217.0
1137.0,1137.0,1224.0
1139.0,1139.0,1220.0
1131.0,1131.0,1227.0
1142.0,1142.0,1215.0
1158.0,1158.0,1224.0
1142.0,1142.0,1244.0
1131.0,1131.0,1225.0
1145.0,1145.0,1217.0
1143.0,1143.0,1228.0
1143.0,1143.0,1226.0
1136.0,1136.0,1226.0
1148.0,1148.0,1217.0
1146.0,1146.0,1233.0
1140.0,1140.0,1229.0
1128.0,1128.0,1225.0
1145.0,1145.0,1212.0
1139.0,1139.0,1228.0
1138.0,1138.0,1225.0
1140.0,1140.0,1220.0
1143.0,1143.0,1226.0
1143.0,1143.0,1227.0
1142.0,1142.0,1226.0
1138.0,1138.0,3144.0
1140.0,1140.0,1235.0
1139.0,1139.0,1237.0
1141.0,1141.0,1225.0
1156.0,1156.0,1225.0
1143.0,1143.0,1254.0
1144.0,1144.0,1282.0
1145.0,1145.0,1184.0
1147.0,1147.0,1226.0
1141.0,1141.0,1244.0
1137.0,1137.0,1221.0
1140.0,1140.0,1216.0
1148.0,1148.0,1224.0
1141.0,1141.0,1231.0
1144.0,1144.0,1223.0
1136.0,1136.0,1226.0
1138.0,1138.0,1216.0
1151.0,1151.0,1219.0
1139.0,1139.0,3051.0
1141.0,1141.0,1219.0
1158.0,1158.0,1230.0
1142.0,1142.0,1256.0
1141.0,1141.0,1236.0
1144.0,1144.0,1233.0
1144.0,1144.0,1233.0
1128.0,1128.0,1235.0
1141.0,1141.0,1208.0
1137.0,1137.0,1225.0
1152.0,1152.0,1217.0
1172.0,1172.0,1235.0
1162.0,1162.0,1264.0
1163.0,1163.0,1253.0
1705.0,1705.0,1265.0
1149.0,1149.0,1799.0
1141.0,1141.0,1268.0
1149.0,1149.0,1237.0
1148.0,1148.0,1250.0
1215.0,1215.0,1233.0
1166.0,1166.0,1347.0
1244.0,1244.0,1342.0
1134.0,1134.0,1357.0
1123.0,1123.0,1214.0
1124.0,1124.0,1203.0
1126.0,1126.0,1207.0
1122.0,1122.0,1204.0
1124.0,1124.0,1215.0
1126.0,1126.0,1215.0
1128.0,1128.0,3036.0
1148.0,1148.0,1206.0
1140.0,1140.0,1239.0
1132.0,1132.0,1233.0
1141.0,1141.0,1215.0
1124.0,1124.0,1221.0
1135.0,1135.0,1203.0
1129.0,1129.0,1215.0
1127.0,1127.0,1216.0
1137.0,1137.0,1219.0
1133.0,1133.0,1222.0
1132.0,1132.0,1858.0
1137.0,1137.0,1214.0
1142.0,1142.0,1227.0
1134.0,1134.0,1222.0
1128.0,1128.0,1223.0
1138.0,1138.0,1219.0
1136.0,1136.0,1240.0
1139.0,1139.0,1218.0
1148.0,1148.0,1253.0
1139.0,1139.0,1235.0
1137.0,1137.0,1219.0
1140.0,1140.0,1217.0
1122.0,1122.0,1219.0
1372.0,1372.0,1210.0
1129.0,1129.0,1492.0
1140.0,1140.0,1228.0
1136.0,1136.0,1242.0
1149.0,1149.0,1239.0
1129.0,1129.0,1244.0
1132.0,1132.0,1222.0
1126.0,1126.0,1227.0
1131.0,1131.0,1232.0
1313.0,1313.0,1247.0
1125.0,1125.0,1399.0
1131.0,1131.0,1212.0
1131.0,1131.0,1215.0
1129.0,1129.0,1215.0
1133.0,1133.0,1207.0
1127.0,1127.0,1213.0
1140.0,1140.0,1206.0
1137.0,1137.0,1221.0
1135.0,1135.0,1235.0
1129.0,1129.0,1222.0
1125.0,1125.0,1210.0
1141.0,1141.0,1238.0
1146.0,1146.0,1242.0
1142.0,1142.0,1246.0
1126.0,1126.0,1223.0
1132.0,1132.0,1206.0
1133.0,1133.0,1247.0
1127.0,1127.0,1216.0
1145.0,1145.0,1210.0
1127.0,1127.0,1237.0
1126.0,1126.0,1206.0
1160.0,1160.0,1215.0
1134.0,1134.0,1265.0
1126.0,1126.0,1216.0
1134.0,1134.0,1229.0
1139.0,1139.0,1213.0
1185.0,1185.0,1234.0
1123.0,1123.0,1287.0
1141.0,1141.0,1204.0
1506.0,1506.0,1238.0
1239.0,1239.0,1665.0
1166.0,1166.0,1355.0
1127.0,1127.0,1277.0
1125.0,1125.0,1223.0
1142.0,1142.0,1246.0
1136.0,1136.0,1240.0
1127.0,1127.0,1223.0
